feed_name,decimals
AAVE/USD,4
ADA/USD,5
ALGO/USD,5
ARB/USD,5
ATOM/USD,5
AVAX/USD,5
BCH/USD,4
BNB/USD,4
BONK/USD,9
BTC/USD,2
DAI/USD,5
DOGE/USD,5
DOT/USD,5
ENA/USD,5
ETC/USD,5
ETH/USD,3
ETHFI/USD,5
FET/USD,5
FIL/USD,5
FLR/USD,6
FTM/USD,5
HNT/USD,5
ICP/USD,5
JUP/USD,5
LEO/USD,5
LINK/USD,5
LTC/USD,5
NEAR/USD,5
NOT/USD,7
ONDO/USD,5
PEPE/USD,10
POL/USD,5
PYTH/USD,5
QNT/USD,5
RENDER/USD,5
RUNE/USD,5
SGB/USD,7
SHIB/USD,9
SOL/USD,4
SUI/USD,5
TAO/USD,4
TON/USD,5
TRX/USD,5
UNI/USD,5
USDC/USD,5
USDT/USD,5
WIF/USD,5
XDC/USD,6
XLM/USD,6
XRP/USD,5
